2025-04-07 00:28:28.855 | ID: 70 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 1 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 16
2025-04-07 00:28:29.056 | ID: 72 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:29.355 | ID: 74 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 3 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 21
2025-04-07 00:28:29.356 | ID: 77 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 16
2025-04-07 00:28:29.356 | ID: 75 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 17
2025-04-07 00:28:29.557 | ID: 76 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 21
2025-04-07 00:28:29.857 | ID: 80 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 18
2025-04-07 00:28:29.858 | ID: 82 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 17
2025-04-07 00:28:29.858 | ID: 78 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 5 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 21
2025-04-07 00:28:30.059 | ID: 79 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 19
2025-04-07 00:28:30.358 | ID: 83 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 18
