2025-04-07 00:28:32.405 | ID: 101 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:32.506 | ID: 102 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:32.636 | ID: 103 | Cor: VERMELHO | Tipo: SEDAN | Estação: 2 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:32.650 | ID: 104 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:32.672 | ID: 105 | Cor: AZUL | Tipo: SEDAN | Estação: 2 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:32.769 | ID: 106 | Cor: VERMELHO | Tipo: SUV | Estação: 1 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:32.779 | ID: 107 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:33.246 | ID: 108 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:33.325 | ID: 109 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:33.511 | ID: 110 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:33.659 | ID: 111 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:33.670 | ID: 112 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:33.679 | ID: 113 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 5 | Posição na Esteira: 2
2025-04-07 00:28:33.726 | ID: 114 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:33.970 | ID: 115 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:34.188 | ID: 116 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:34.489 | ID: 117 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:34.497 | ID: 118 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:34.579 | ID: 119 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:34.606 | ID: 120 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:34.655 | ID: 121 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:34.798 | ID: 122 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:34.878 | ID: 123 | Cor: AZUL | Tipo: SEDAN | Estação: 1 | Funcionário: 4 | Posição na Esteira: 1
